city,title,language,time,money
Київ,Junior,Python,1р,995
Львів,Middle,Python,3р,995
Харків,Senior,Java,5р,9700
Київ,Senior,TypeScript,6р,9500
Київ,Tech Lead,JavaScript,10р,9500
Київ,Senior,Java,10р,9500
Київ,Senior,TypeScript,8р,9500
Харків,Junior,Dart,1р,950
Львів,Middle,Java,1р,950
Вінниця,Junior,Python,1р,950
Одеса,Junior,PHP,"1,5р",950
Вінниця,Middle,TypeScript,"1,5р",950
Львів,Junior,Python,1р,950
Інше,Junior,C# / .NET,"0,5р",950
Львів,Junior,Java,1р,950
Харків,Junior,JavaScript,"1,5р",950
Харків,Junior,C# / .NET,"0,5р",950
Хмельницький,Junior,JavaScript,1р,950
Київ,Junior,PHP,2р,950
Дніпро,Junior,Java,"0,5р",950
Житомир,Middle,PHP,5р,950
Київ,Junior,Java,10р,950
Вінниця,Junior,Python,1р,950
Хмельницький,Middle,PHP,10р,950
Київ,Junior,PHP,1р,950
Львів,Tech Lead,TypeScript,5р,9450
Харків,Team Lead,JavaScript,10р,9400
Дніпро,Middle,Dart,4р,940
Львів,Junior,Java,"0,5р",940
Київ,Junior,Python,1р,930
Київ,Junior,JavaScript,"0,5р",925
Київ,Architect,JavaScript,7р,9200
Харків,Junior,Java,1р,920
Львів,Junior,C# / .NET,1р,920
Київ,Senior,Python,10р,9100
Київ,Team Lead,TypeScript,8р,9100
Київ,Senior,TypeScript,9р,9000
Львів,Senior,Ruby,10р,9000
Хмельницький,Senior,PHP,10р,9000
Київ,Senior,TypeScript,6р,9000
Київ,Tech Lead,Python,10р,9000
Дніпро,Senior,C++,10р,9000
Київ,Senior,JavaScript,7р,9000
Харків,Architect,JavaScript,9р,9000
Київ,Architect,JavaScript,10р,9000
Київ,Senior,Java,10р,9000
Київ,Senior,Clojure,10р,9000
Київ,Architect,TypeScript,10р,9000
Київ,Senior,TypeScript,10р,9000
Київ,Senior,Java,10р,9000
Київ,Senior,Swift,10р,9000
Кривий Ріг,Junior,PHP,"1,5р",900
Львів,Junior,Java,"0,5р",900
Львів,Junior,C,"0,25р",900
Київ,Junior,TypeScript,"0,25р",900
Львів,Junior,Java,1р,900
Київ,Junior,C# / .NET,"0,5р",900
Дніпро,Junior,JavaScript,1р,900
Київ,Junior,Go,"0,5р",900
Дніпро,Junior,JavaScript,1р,900
Харків,Junior,Java,5р,900
Київ,Junior,C# / .NET,10р,900
Львів,Junior,Kotlin,1р,900
Хмельницький,Junior,C# / .NET,"1,5р",900
Кропивницький,Team Lead,JavaScript,"1,5р",900
Івано-Франківськ,Middle,1С,1р,900
Харків,Junior,JavaScript,5р,900
Дніпро,Middle,JavaScript,"1,5р",900
Львів,Junior,JavaScript,1р,900
Харків,Junior,C# / .NET,"1,5р",900
Львів,Junior,Python,1р,900
Львів,Junior,Kotlin,1р,900
Львів,Junior,C# / .NET,"1,5р",900
Львів,Junior,Java,1р,900
Івано-Франківськ,Junior,Ruby,1р,900
Харків,Junior,JavaScript,1р,900
Суми,Junior,Salesforce Apex,1р,900
Київ,Junior,Python,"0,5р",900
Харків,Junior,Python,"0,5р",900
Одеса,Junior,C# / .NET,"0,5р",900
Вінниця,Middle,JavaScript,1р,900
Інше,Junior,C# / .NET,"1,5р",900
Львів,Junior,TypeScript,"0,5р",900
Київ,Junior,C# / .NET,"1,5р",900
Київ,Junior,Go,"0,5р",900
Дніпро,Junior,TypeScript,1р,900
Івано-Франківськ,Junior,Ruby,2р,900
Львів,Junior,TypeScript,"0,5р",900
Київ,Middle,Python,"1,5р",900
Харків,Middle,PHP,3р,900
Інше,Junior,JavaScript,"1,5р",900
Київ,Junior,JavaScript,1р,900
Київ,Junior,C# / .NET,2р,900
Київ,Junior,JavaScript,"0,5р",900
Харків,Junior,JavaScript,"1,5р",900
Львів,Junior,PHP,2р,900
Київ,Junior,JavaScript,1р,900
Миколаїв,Middle,JavaScript,3р,900
Чернівці,Junior,JavaScript,1р,900
Київ,Junior,Groovy,"0,5р",900
Луцьк,Junior,PHP,"1,5р",900
Київ,Junior,C# / .NET,2р,900
Київ,Junior,TypeScript,1р,900
Київ,Junior,JavaScript,"0,5р",900
Маріуполь,Junior,Java,1р,900
Львів,Junior,Java,"0,5р",900
Київ,Junior,TypeScript,2р,900
Львів,Junior,Java,"0,25р",900
Суми,Junior,Python,2р,900
Одеса,Junior,JavaScript,3р,900
Київ,Junior,Dart,"1,5р",900
Харків,Junior,JavaScript,2р,900
Одеса,Junior,JavaScript,1р,900
Інше,Junior,JavaScript,1р,900
Рівне,Tech Lead,1С,4р,900
Інше,Middle,PHP,10р,900
Харків,Junior,C# / .NET,"1,5р",900
Харків,Junior,JavaScript,"0,5р",900
Дніпро,Middle,JavaScript,4р,900
Одеса,Junior,Salesforce Apex,2р,900
Харків,Junior,Swift,1р,900
Львів,Junior,Python,"1,5р",900
Івано-Франківськ,Junior,Ruby,1р,900
Вінниця,Middle,C# / .NET,2р,900
Запоріжжя,Junior,PHP,2р,900
Харків,Junior,TypeScript,"0,5р",900
Київ,Junior,JavaScript,10р,900
Київ,Junior,JavaScript,"1,5р",900
Львів,Junior,Python,"0,5р",900
Київ,Junior,TypeScript,1р,900
Львів,Middle,JavaScript,3р,900
Львів,Middle,1С,10р,900
Київ,Junior,JavaScript,2р,900
Інше,Junior,Python,3р,900
Рівне,Middle,1С,8р,900
Київ,Junior,JavaScript,"0,25р",900
Київ,Junior,Java,"0,25р",900
Київ,Junior,C# / .NET,"0,25р",900
Київ,Intern/Trainee,Python,"0,25р",900
Тернопіль,Junior,Java,1р,900
Київ,Junior,Java,1р,900
Київ,Middle,C# / .NET,3р,900
Інше,Junior,JavaScript,3р,900
Харків,Junior,JavaScript,"0,25р",900
Київ,Junior,JavaScript,1р,895
Чернівці,Junior,JavaScript,3р,880
